Invoice_ID,Client_ID,Invoice_Date,Filing_Date,Amount,VAT_Rate,VAT_Amount,Category,Region,Filing_Status,Compliance_Flag,Risk_Score,Annual_Turnover,Amount_to_Turnover_Ratio,VAT_to_Amount_Ratio,Refund_Eligible,Refund_Amount,Is_Anomaly,Data_Source
INV-2025-22048,CLI-2815,2024-10-08,2024-11-04,55061.2,18%,9911.02,FMCG,East,On Time,Compliant,17,45215594.33,0.001218,0.18,Yes,8154.37,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-22548,CLI-5980,2024-10-08,2024-10-27,246592.92,12%,29591.15,IT Services,South,On Time,Compliant,18,214547438.52,0.001149,0.12,Yes,20700.77,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-22477,CLI-4489,2024-10-08,2024-10-30,156899.89,18%,28241.98,IT Services,West,On Time,Compliant,15,115527802.44,0.001358,0.18,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-04612,CLI-3527,2024-10-08,2024-10-24,54015.58,5%,2700.78,FMCG,North,On Time,Compliant,18,41318344.31,0.001307,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-22240,CLI-9821,2024-10-08,2024-10-31,64807.38,18%,11665.33,Retail,West,On Time,Compliant,21,27455732.53,0.00236,0.18,Yes,8892.7,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-12346,CLI-4497,2024-10-08,2024-11-04,109670.45,5%,5483.52,Education,South,On Time,Compliant,39,86133493.41,0.001273,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-12410,CLI-9271,2024-10-08,2024-11-13,168648.61,5%,8432.43,IT Services,North,On Time,Compliant,35,51126766.86,0.003299,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-12436,CLI-5668,2024-10-08,2024-11-02,139834.31,5%,6991.72,Pharmaceuticals,South,Very Late,Non-Compliant,100,138601958.27,0.001009,0.05,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-12524,CLI-4899,2024-10-08,2024-10-12,96527.27,5%,4826.36,IT Services,South,On Time,Compliant,32,22622827.54,0.004267,0.05,Yes,4270.1,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-04737,CLI-1707,2024-10-08,2024-11-15,81733.95,12%,9808.07,Healthcare,South,On Time,Compliant,23,25840252.08,0.003163,0.12,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-12706,CLI-1596,2024-10-08,2024-11-05,107519.44,18%,19353.5,Retail,West,On Time,Non-Compliant,59,92970245.56,0.001156,0.18,No,0.0,Yes,Enhanced_Synthetic_with_Real_Patterns
INV-2025-12852,CLI-1151,2024-10-08,2024-10-11,106821.75,18%,19227.92,Retail,West,On Time,Compliant,35,38161402.7,0.002799,0.18,Yes,11753.61,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-12899,CLI-6586,2024-10-08,2024-11-20,76226.44,18%,13720.76,FMCG,West,On Time,Under Review,37,68731980.56,0.001109,0.18,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-04181,CLI-4558,2024-10-08,2024-10-17,60126.72,18%,10822.81,Retail,South,On Time,Compliant,39,18034503.19,0.003334,0.18,Yes,9103.5,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-13055,CLI-2204,2024-10-08,2024-10-23,105433.05,12%,12651.97,Pharmaceuticals,South,On Time,Under Review,31,19851333.33,0.005311,0.12,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-01286,CLI-5739,2024-10-08,2024-11-19,204912.54,18%,36884.26,IT Services,South,On Time,Compliant,45,167288721.34,0.001225,0.18,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-13341,CLI-3599,2024-10-08,2024-10-15,108518.76,12%,13022.25,Pharmaceuticals,East,On Time,Compliant,36,46131924.31,0.002352,0.12,Yes,11660.23,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-21918,CLI-9992,2024-10-08,2024-10-15,138804.2,18%,24984.76,Retail,North,On Time,Compliant,20,54880138.04,0.002529,0.18,Yes,19722.31,No,Enhanced_Synthetic_with_Real_Patterns
INV-2025-13633,CLI-6926,2024-10-08,2024-11-21,236075.63,5%,11803.78,Retail,South,On Time,Compliant,28,69779180.34,0.003383,0.05,No,0.0,No,Enhanced_Synthetic_with_Real_Patterns
